CMDLINE /usr/bin/python3 pipeline.py
MEM 111.171875 1625036524.5754
MEM 111.171875 1625036524.6756
MEM 111.171875 1625036524.7759
MEM 111.171875 1625036524.8762
MEM 111.171875 1625036524.9765
MEM 111.171875 1625036525.0768
MEM 111.433594 1625036525.1771
MEM 111.433594 1625036525.2774
MEM 111.433594 1625036525.3777
MEM 111.667969 1625036525.4779
MEM 111.667969 1625036525.5782
MEM 111.667969 1625036525.6784
MEM 111.667969 1625036525.7787
MEM 111.902344 1625036525.8790
MEM 111.902344 1625036525.9793
MEM 111.902344 1625036526.0795
MEM 112.152344 1625036526.1798
MEM 112.152344 1625036526.2801
MEM 112.152344 1625036526.3804
MEM 112.019531 1625036526.4807
MEM 112.007812 1625036526.5810
MEM 112.007812 1625036526.6813
MEM 112.257812 1625036526.7816
MEM 112.257812 1625036526.8819
MEM 112.257812 1625036526.9822
MEM 112.511719 1625036527.0825
MEM 110.406250 1625036527.1827
MEM 107.796875 1625036527.2830
MEM 107.796875 1625036527.3833
MEM 107.832031 1625036527.4836
MEM 108.089844 1625036527.5839
MEM 108.250000 1625036527.6842
MEM 108.503906 1625036527.7847
MEM 109.984375 1625036527.8850
MEM 109.984375 1625036527.9852
MEM 109.984375 1625036528.0855
MEM 109.300781 1625036528.1859
MEM 109.480469 1625036528.2862
MEM 109.480469 1625036528.3865
MEM 109.734375 1625036528.4867
MEM 109.992188 1625036528.5870
MEM 109.992188 1625036528.6872
MEM 109.886719 1625036528.7875
MEM 110.144531 1625036528.8878
MEM 110.144531 1625036528.9880
MEM 110.144531 1625036529.0883
MEM 110.144531 1625036529.1886
MEM 110.144531 1625036529.2889
MEM 110.144531 1625036529.3891
MEM 110.144531 1625036529.4894
MEM 110.144531 1625036529.5897
MEM 110.144531 1625036529.6900
MEM 110.144531 1625036529.7903
MEM 110.144531 1625036529.8905
MEM 110.144531 1625036529.9910
MEM 110.144531 1625036530.0913
MEM 110.144531 1625036530.1916
MEM 110.144531 1625036530.2918
MEM 110.144531 1625036530.3921
MEM 110.144531 1625036530.4924
MEM 110.214844 1625036530.5927
MEM 109.503906 1625036530.6930
MEM 109.503906 1625036530.7933
MEM 109.503906 1625036530.8936
MEM 109.503906 1625036530.9939
MEM 109.761719 1625036531.0942
MEM 109.761719 1625036531.1944
MEM 109.761719 1625036531.2947
MEM 109.761719 1625036531.3950
MEM 109.976562 1625036531.4952
MEM 109.976562 1625036531.5955
MEM 109.976562 1625036531.6957
MEM 109.976562 1625036531.7960
MEM 110.226562 1625036531.8963
MEM 110.226562 1625036531.9966
MEM 110.226562 1625036532.0968
MEM 110.226562 1625036532.1971
MEM 110.476562 1625036532.2974
MEM 110.476562 1625036532.3977
MEM 110.476562 1625036532.4980
MEM 110.476562 1625036532.5983
MEM 110.476562 1625036532.6986
MEM 110.476562 1625036532.7988
MEM 110.730469 1625036532.8991
MEM 110.730469 1625036532.9994
MEM 110.730469 1625036533.0996
MEM 110.031250 1625036533.1999
MEM 110.031250 1625036533.3002
MEM 110.277344 1625036533.4005
MEM 110.277344 1625036533.5008
MEM 110.277344 1625036533.6011
MEM 110.253906 1625036533.7014
MEM 110.253906 1625036533.8017
MEM 109.902344 1625036533.9019
