bouwjaar,woningtype,epi_imputed,epi_pc6_average
1953,meergezinspand_laag_midden,2.184,2.0785833249489465
1958,tussenwoning,0.938,1.391333321730296
2005,meergezinspand_hoog,1.2,1.167250044643879
2002,hoekwoning,0.938,1.0244166900714238
1921,tussenwoning,3.237,2.5398888720406427
1981,tussenwoning,1.451,1.4509999752044678
1925,vrijstaand,2.612,2.365444435013665
1994,tussenwoning,1.2,1.1126667062441509
1981,meergezinspand_laag_midden,1.2,1.315041681130727
1981,tussenwoning,1.451,1.4611428465162004
1966,tussenwoning,1.785,1.5343999862670898
1982,meergezinspand_laag_midden,1.2,1.561937503516674
2009,meergezinspand_hoog,0.938,0.9928947483238421
1995,meergezinspand_hoog,1.451,1.1005789606194747
1952,hoekwoning,1.785,2.610749989748001
1960,vrijstaand,2.184,2.5267777707841663
2019,tussenwoning,0.938,0.9380000233650208
1974,hoekwoning,1.451,1.4509999752044678
1970,meergezinspand_laag_midden,1.95,1.5411110983954535
1952,hoekwoning,1.785,1.6059130171070928
1969,tussenwoning,1.451,1.4813636107878252
1998,tussenwoning,0.938,1.2091739359109297
1966,meergezinspand_hoog,2.184,1.9445789299513165
1964,meergezinspand_hoog,1.785,1.9332727031274275
1982,tussenwoning,1.2,1.2941250205039978
1996,meergezinspand_hoog,1.2,1.3394444518619113
1972,meergezinspand_hoog,1.451,1.4785475943769728
2005,meergezinspand_hoog,0.938,1.3614999868653037
2003,hoekwoning,0.938,0.9754285982676915
1958,meergezinspand_laag_midden,1.451,1.377791663010915
1958,meergezinspand_laag_midden,1.2,1.377791663010915
1927,meergezinspand_laag_midden,2.184,1.685444434483846
1906,meergezinspand_laag_midden,1.785,1.9721249863505363
1922,meergezinspand_laag_midden,2.184,2.5734999974568686
1959,meergezinspand_hoog,2.184,2.5879090916026724
1956,meergezinspand_laag_midden,2.184,1.8437777625189886
1957,meergezinspand_hoog,2.612,1.8432307518445528
1964,meergezinspand_laag_midden,2.8,2.3756666315926447
1972,meergezinspand_hoog,2.612,2.3923571365220204
1969,meergezinspand_hoog,2.184,2.1999305519792767
1968,tussenwoning,1.2,1.4395908875898882
1925,tussenwoning,2.612,2.5446666479110718
1988,tussenwoning,1.451,1.1594285879816328
1978,meergezinspand_laag_midden,1.2,1.1629565409992053
1982,meergezinspand_laag_midden,1.2,1.3538461648500884
1987,tussenwoning,1.451,1.4509999752044678
1969,tussenwoning,1.451,1.4353124797344208
1962,tussenwoning,1.785,1.5916922826033373
1984,tussenwoning,1.42,1.4239999771118164
1860,meergezinspand_laag_midden,1.2,2.0035454522479665
1920,hoekwoning,3.237,3.1328333218892417
1957,meergezinspand_laag_midden,0.938,2.0820952313286916
1925,tussenwoning,2.612,2.1549999846352472
1974,meergezinspand_hoog,1.2,1.3171333471934001
2018,meergezinspand_laag_midden,0.938,0.9380000233650208
1967,meergezinspand_laag_midden,1.785,1.9428888824250963
1991,tussenwoning,0.938,1.0690000355243683
2019,twee_onder_1_kap,0.938,0.957730790743461
1984,hoekwoning,1.451,1.4509999752044678
1973,tussenwoning,1.451,1.4889285521847861
2019,hoekwoning,0.938,0.9380000233650208
1977,tussenwoning,0.938,1.0406000137329101
1986,hoekwoning,1.451,1.5588888857099745
1955,hoekwoning,1.16,1.0715714309896742
2020,tussenwoning,0.938,0.9380000233650208
1985,tussenwoning,1.2,1.4196249842643738
1989,meergezinspand_laag_midden,1.23,1.2745882377905005
1963,meergezinspand_hoog,2.184,2.3142608766970425
1965,tussenwoning,1.451,1.6435555418332417
1967,tussenwoning,1.451,1.3777142677988325
1960,tussenwoning,2.184,1.6206249967217445
1954,meergezinspand_laag_midden,2.75,2.5318124890327454
1991,tussenwoning,1.451,1.3524138166986663
1974,hoekwoning,1.4,1.4482857244355338
1925,twee_onder_1_kap,1.451,2.125
1960,meergezinspand_laag_midden,1.451,2.1735882127986237
2008,meergezinspand_hoog,0.938,0.9622187726199627
2011,tussenwoning,0.938,0.9380000233650208
1982,vrijstaand,1.451,1.1963333487510681
2011,tussenwoning,0.938,0.948352946954615
2002,hoekwoning,0.938,0.9380000233650208
